"Result ID","Start time","Last seen","Duration","Batch","Type","State","Message"
"517933","19/05/2024, 12:14:12","19/05/2024, 12:22:14","00:08:19","Default","General Single","FINISHED","none"
"517972","19/05/2024, 14:24:43","19/05/2024, 14:28:49","00:05:07","Default","General Single","FINISHED","none"
"518133","19/05/2024, 21:47:02","19/05/2024, 21:49:02","00:03:57","Default","General Single","FINISHED","none"
"525919","28/05/2024, 17:12:42","28/05/2024, 17:16:43","00:05:10","Default","General Multiple","FINISHED","none"
"525937","28/05/2024, 17:59:31","28/05/2024, 18:01:40","00:04:00","Default","General Single","FINISHED","none"
"525986","28/05/2024, 22:55:53","28/05/2024, 22:59:56","00:05:41","Default","General Single","FINISHED","none"
"527211","29/05/2024, 18:13:57","29/05/2024, 18:17:59","00:04:15","Default","General Single","FINISHED","none"
"527268","29/05/2024, 20:35:31","29/05/2024, 20:37:33","00:03:18","Default","General Single","FINISHED","none"
"527735","30/05/2024, 11:25:47","30/05/2024, 11:27:48","00:03:46","Default","General Single","FINISHED","none"
"527756","30/05/2024, 12:05:11","30/05/2024, 12:09:18","00:04:18","Default","General Single","FINISHED","none"
"527771","30/05/2024, 12:38:28","30/05/2024, 12:44:32","00:06:18","Default","General Single","FINISHED","none"
"527790","30/05/2024, 13:19:08","30/05/2024, 13:23:11","00:05:24","Default","General Single","FINISHED","none"
"528118","30/05/2024, 22:10:51","30/05/2024, 22:14:55","00:05:50","Default","General Single","FINISHED","none"
"529542","02/06/2024, 22:20:26","02/06/2024, 22:30:28","00:11:44","Default","General Single","FINISHED","none"
"530269","03/06/2024, 15:06:10","03/06/2024, 15:10:11","00:04:46","Default","General Single","FINISHED","none"
"530439","03/06/2024, 16:16:30","03/06/2024, 16:22:32","00:06:36","Default","General Single","FINISHED","none"
"530542","03/06/2024, 17:56:18","03/06/2024, 18:04:20","00:08:35","Default","General Single","FINISHED","none"
"532002","04/06/2024, 18:12:24","04/06/2024, 18:18:24","00:06:52","Default","General Single","FINISHED","none"
"534436","06/06/2024, 11:22:24","06/06/2024, 11:26:25","00:04:19","Default","General Single","FINISHED","none"
"534441","06/06/2024, 11:23:12","06/06/2024, 11:39:13","00:17:25","Default","General Single","FINISHED","none"
"534448","06/06/2024, 11:25:07","06/06/2024, 11:29:08","00:04:57","Default","General Single","FINISHED","none"
"534451","06/06/2024, 11:26:51","06/06/2024, 11:28:53","00:03:47","Default","General Single","FINISHED","none"
"534452","06/06/2024, 11:28:14","06/06/2024, 11:34:19","00:07:21","Default","General Single","FINISHED","none"
"534453","06/06/2024, 11:29:04","06/06/2024, 11:33:06","00:04:38","Default","General Single","FINISHED","none"
"534457","06/06/2024, 11:31:41","06/06/2024, 11:35:43","00:05:21","Default","General Single","FINISHED","none"
"534466","06/06/2024, 11:37:57","06/06/2024, 11:41:59","00:05:56","Default","General Single","FINISHED","none"
"534480","06/06/2024, 11:40:13","06/06/2024, 11:42:14","00:03:25","Default","General Single","FINISHED","none"
"534483","06/06/2024, 11:42:43","06/06/2024, 13:48:47","02:07:16","Default","General Single","FINISHED","none"
"534591","06/06/2024, 12:41:09","06/06/2024, 12:45:11","00:05:51","Default","General Single","FINISHED","none"
"534616","06/06/2024, 12:52:59","06/06/2024, 12:57:02","00:04:29","Default","General Single","FINISHED","none"
"535461","07/06/2024, 09:15:44","07/06/2024, 09:21:46","00:06:42","Default","General Single","FINISHED","none"
"535520","07/06/2024, 10:33:57","07/06/2024, 10:42:27","00:08:51","Default","General Single","FINISHED","none"
"536202","08/06/2024, 11:39:08","08/06/2024, 11:43:08","00:05:44","Default","General Multiple","FINISHED","none"
"536203","08/06/2024, 11:39:27","08/06/2024, 11:43:29","00:04:26","Default","General Multiple","FINISHED","none"
"539012","12/06/2024, 23:40:40","12/06/2024, 23:44:41","00:04:43","Default","General Single","FINISHED","none"
"539764","13/06/2024, 22:03:56","13/06/2024, 22:07:56","00:04:33","Default","General Single","FINISHED","none"
"540122","14/06/2024, 15:07:12","14/06/2024, 15:11:14","00:05:33","Default","General Single","FINISHED","none"
"540214","14/06/2024, 16:49:09","14/06/2024, 16:53:12","00:04:33","Default","General Single","FINISHED","none"
"540531","15/06/2024, 10:41:17","15/06/2024, 11:41:18","01:01:41","Default","General Multiple","FINISHED","none"
"540532","15/06/2024, 10:42:42","15/06/2024, 11:40:43","00:58:15","Default","General Multiple","FINISHED","none"
"540533","15/06/2024, 10:43:22","15/06/2024, 11:43:24","01:00:33","Default","General Multiple","FINISHED","none"
"540541","15/06/2024, 10:49:08","15/06/2024, 13:51:20","03:02:29","Default","General Multiple","FINISHED","none"
"540569","15/06/2024, 11:49:06","15/06/2024, 12:45:07","00:56:04","Default","General Multiple","FINISHED","none"
"540629","15/06/2024, 14:44:46","15/06/2024, 14:48:46","00:05:16","Default","General Multiple","FINISHED","none"
"540701","15/06/2024, 17:05:26","15/06/2024, 17:07:28","00:03:55","Default","General Single","FINISHED","none"
"540841","16/06/2024, 09:23:26","16/06/2024, 09:27:27","00:04:57","Default","General Single","FINISHED","none"
"540935","16/06/2024, 15:16:09","16/06/2024, 15:20:10","00:04:54","Default","General Single","FINISHED","none"
"540990","16/06/2024, 16:57:57","16/06/2024, 17:01:59","00:04:34","Default","General Single","FINISHED","none"
"540993","16/06/2024, 16:59:05","16/06/2024, 17:05:06","00:06:09","Default","General Single","FINISHED","none"
"541050","16/06/2024, 18:53:57","16/06/2024, 18:59:58","00:07:39","Default","General Single","FINISHED","none"
"541059","16/06/2024, 19:23:16","16/06/2024, 19:33:17","00:10:07","Default","General Single","FINISHED","none"
"541085","16/06/2024, 20:55:58","16/06/2024, 21:00:00","00:06:00","Default","General Single","FINISHED","none"
"541213","17/06/2024, 08:29:20","17/06/2024, 08:33:21","00:04:45","Default","General Single","FINISHED","none"
"541742","17/06/2024, 14:29:26","17/06/2024, 14:33:28","00:04:38","Default","General Single","FINISHED","none"
"541861","17/06/2024, 17:32:06","17/06/2024, 17:36:07","00:04:40","Default","General Single","FINISHED","none"
"542304","18/06/2024, 09:41:20","18/06/2024, 09:45:31","00:04:15","Default","General Single","FINISHED","none"
"542338","18/06/2024, 10:37:42","18/06/2024, 10:41:44","00:04:49","Default","General Single","FINISHED","none"
"542470","18/06/2024, 12:48:29","18/06/2024, 12:50:31","00:03:40","Default","General Single","FINISHED","none"
"542559","18/06/2024, 15:48:07","18/06/2024, 16:56:07","01:09:02","Default","General Multiple","FINISHED","none"
"542570","18/06/2024, 16:19:10","18/06/2024, 16:23:11","00:04:45","Default","General Single","FINISHED","none"
"542593","18/06/2024, 17:00:34","18/06/2024, 18:29:11","01:29:59","Default","General Multiple","FINISHED","none"
"542595","18/06/2024, 17:15:48","18/06/2024, 18:27:42","01:13:45","Default","General Multiple","FINISHED","none"
"542654","18/06/2024, 19:13:47","18/06/2024, 19:15:52","00:03:39","Default","General Single","FINISHED","none"
"542736","18/06/2024, 22:13:21","18/06/2024, 22:17:24","00:05:27","Default","General Single","FINISHED","none"
"542747","18/06/2024, 22:54:53","18/06/2024, 23:06:59","00:13:33","Default","General Single","FINISHED","none"
"542754","18/06/2024, 23:28:44","18/06/2024, 23:32:46","00:04:33","Default","General Single","FINISHED","none"
"542920","19/06/2024, 11:01:35","19/06/2024, 11:05:38","00:04:44","Default","General Single","FINISHED","none"
"543259","19/06/2024, 17:11:53","19/06/2024, 17:15:55","00:05:25","Default","General Single","FINISHED","none"
"543293","19/06/2024, 17:32:15","19/06/2024, 17:34:17","00:03:43","Default","General Single","FINISHED","none"
"543502","19/06/2024, 23:30:51","19/06/2024, 23:34:52","00:05:09","Default","General Single","FINISHED","none"
"543504","19/06/2024, 23:37:55","19/06/2024, 23:47:58","00:10:12","Default","General Single","FINISHED","none"
