PERSISTENT,TEMPORARY,acc,accuracy,autoconsent11980,autoconsent14583,autoconsent15145,autoconsent16353,autoconsent17417,autoconsent18167,autoconsent18329,autoconsent18773,autoconsent19170,autoconsent19180,autoconsent19795,autoconsent21322,autoconsent21847,autoconsent24361,autoconsent24719,autoconsent24962,autoconsent2573,autoconsent26573,autoconsent26852,autoconsent28534,autoconsent31152,autoconsent31709,autoconsent33934,autoconsent34690,autoconsent35187,autoconsent35829,autoconsent3694,autoconsent39868,autoconsent40935,autoconsent41414,autoconsent49325,autoconsent510,autoconsent52221,autoconsent53480,autoconsent5405,autoconsent55822,autoconsent57560,autoconsent59103,autoconsent63616,autoconsent63622,autoconsent6411,autoconsent64304,autoconsent65136,autoconsent66291,autoconsent66762,autoconsent67372,autoconsent68257,autoconsent68980,autoconsent71346,autoconsent75603,autoconsent78632,autoconsent79622,autoconsent80582,autoconsent80938,autoconsent81473,autoconsent82830,autoconsent8416,autoconsent84814,autoconsent85701,autoconsent94640,autoconsent96647,autoconsent97411,autoconsent99581,average_response_time,avg_rt,background,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,closed,color1,color2,color3,color4,color_backend,correct,correct_in_a_row,correct_press_abcd,correct_response,count_block_loop,count_card_display,count_correct_feedback,count_experiment,count_goodbye,count_incorrect_feedback,count_init_matching_rule,count_instructions,count_logger,count_new_1_form_text_display,count_new_2_sketchpad,count_new_form_consent,count_new_form_text_display,count_new_inline_javascript,count_new_sketchpad,count_osweb,count_press_abcd,count_select_response_card,count_set_correct_response,count_trial_sequence,count_update_matching_rule,credentialless,crossOriginIsolated,date_startdate,date_startdateUTC,date_starttime,datetime,defaultStatus,defaultstatus,description,devicePixelRatio,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullScreen,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatosStudyResultId,jatosVersion,jatos_uuid,keyboard_backend,length,matching_rule,mouse_backend,mozInnerScreenX,mozInnerScreenY,name,number1,number2,number3,number4,offscreenBuffering,opensesame_codename,opensesame_version,origin,originAgentCluster,outerHeight,outerWidth,overlap1,overlap2,overlap3,overlap4,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_color,response_new_2_sketchpad,response_new_sketchpad,response_number,response_press_abcd,response_shape,response_time,response_time_new_2_sketchpad,response_time_new_sketchpad,response_time_press_abcd,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,scrollMaxX,scrollMaxY,scrollX,scrollY,sessionid,shape1,shape2,shape3,shape4,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,system_os,time_block_loop,time_card_display,time_correct_feedback,time_incorrect_feedback,time_init_matching_rule,time_logger,time_new_2_sketchpad,time_new_sketchpad,time_press_abcd,time_select_response_card,time_set_correct_response,time_update_matching_rule,title,total_correct,total_response_time,total_responses,width
1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5140,5140,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,green,blue,red,yellow,osweb,0,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,4,1,3,2,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,0,1,1,1,0,0,1,0,b,yellow,a,space,1,b,circle,5140,26356,15470,5140,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,cross,triangle,circle,star,1024,2,48000,-16,experiment,,0,even,Win32,35,69415,,74558,69397,75073,24630,50990,69415,69412,69412,75073,Wisconsin Card Sorting Test,0,5140,1,1024
1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532,6532,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,blue,green,red,yellow,osweb,0,0,0,a,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,2,3,1,4,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,1,1,1,0,0,0,1,0,b,red,a,space,3,b,triangle,7924,26356,15470,7924,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,triangle,circle,star,cross,1024,2,48000,-16,experiment,,0,even,Win32,35,75088,,83026,69397,83540,24630,50990,75089,75085,75085,83540,Wisconsin Card Sorting Test,0,13064,2,1024
1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5567,5567,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,red,blue,yellow,green,osweb,0,0,0,d,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,3,4,2,1,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,1,1,0,1,0,0,1,0,b,blue,a,space,3,b,cross,3636,26356,15470,3636,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,star,triangle,circle,cross,1024,2,48000,-16,experiment,,0,even,Win32,35,83552,,87192,69397,87708,24630,50990,83552,83549,83549,87708,Wisconsin Card Sorting Test,0,16700,3,1024
1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5246,5246,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,red,yellow,green,blue,osweb,0,0,0,c,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,3,3,3,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,4,2,1,3,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,0,1,1,1,0,0,1,0,d,yellow,a,space,3,d,circle,4282,26356,15470,4282,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,star,cross,circle,triangle,1024,2,48000,-16,experiment,,0,even,Win32,35,87721,,92007,69397,92524,24630,50990,87721,87718,87718,92524,Wisconsin Card Sorting Test,0,20982,4,1024
1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7822,7822,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,blue,yellow,green,red,osweb,0,0,0,b,0,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,1,4,2,3,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,0,1,1,1,0,0,1,0,d,red,a,space,2,d,star,18126,26356,15470,18126,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,cross,star,circle,triangle,1024,2,48000,-16,experiment,,0,even,Win32,35,92535,,110677,69397,111192,24630,50990,92535,92532,92532,111192,Wisconsin Card Sorting Test,0,39108,5,1024
1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7320,7320,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,red,blue,yellow,green,osweb,0,0,0,d,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,4,1,3,2,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,1,0,1,1,0,0,1,0,a,yellow,a,space,4,a,triangle,4809,26356,15470,4809,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,star,cross,circle,triangle,1024,2,48000,-16,experiment,,0,even,Win32,35,111212,,116027,69397,116543,24630,50990,111212,111208,111208,116542,Wisconsin Card Sorting Test,0,43917,6,1024
1,0,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6948,6948,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,blue,yellow,red,green,osweb,1,1,1,d,0,6,6,0,0,6,0,0,6,0,0,0,0,0,0,0,6,6,6,6,6,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,4,3,2,1,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,1,0,1,1,0,0,1,0,d,blue,a,space,2,d,cross,4716,26356,15470,4716,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,star,circle,triangle,cross,1024,2,48000,-16,experiment,,0,even,Win32,35,116568,121293,116027,69397,121810,24630,50990,116568,116565,116565,121809,Wisconsin Card Sorting Test,1,48633,7,1024
1,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6667,6667,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,green,red,blue,yellow,osweb,1,2,1,a,0,7,7,0,0,7,0,0,7,0,0,0,0,0,0,0,7,7,7,7,7,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,2,1,4,3,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,1,0,1,1,0,0,1,0,a,blue,a,space,3,a,triangle,4702,26356,15470,4702,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,triangle,cross,star,circle,1024,2,48000,-16,experiment,,0,even,Win32,35,121821,126526,116027,69397,127043,24630,50990,121821,121819,121819,127043,Wisconsin Card Sorting Test,2,53335,8,1024
1,0,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6237,6237,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,blue,yellow,red,green,osweb,1,3,1,c,0,8,8,0,0,8,0,0,8,0,0,0,0,0,0,0,8,8,8,8,8,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,2,3,1,4,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,1,1,1,0,0,0,1,0,c,yellow,a,space,2,c,circle,2796,26356,15470,2796,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,cross,star,circle,triangle,1024,2,48000,-16,experiment,,0,even,Win32,35,127056,129861,116027,69397,130377,24630,50990,127056,127053,127053,130377,Wisconsin Card Sorting Test,3,56131,9,1024
1,0,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850,5850,#3d3846,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",osweb,osweb,0,blue,green,red,yellow,osweb,1,4,1,d,0,9,9,0,0,9,0,0,9,0,0,0,0,0,0,0,9,9,9,9,9,0,0,29-05-24,29-05-24,13:29:56,Wed May 29 2024 13:29:56 GMT+0100 (British Summer Time),,,The main experiment item,1,False,0,0,C:\Users\maalt\OneDrive - Universität Wien\Dokumente\Uni\Psychologie\8. Semester\Bachelorarbeit\Experimente\Winsconsin\osweb-version,0,0,0,False,mono,False,18,no,white,no,,no,768,1080,1920,1,1,527062,3.8.6,47c87f94-a82d-0636-b77f-40fb00d57fe0,osweb,0,shape,osweb,,,,1,2,3,4,,osweb,2.1.0,https://jatos.mindprobe.eu,1,1080,1920,1,0,1,1,0,0,1,0,d,red,a,space,1,d,star,2367,26356,15470,2367,2,osweb,1920,0,1920,0,1040,1920,24,1080,24,2255,31,1920,,,0,0,1716985792468,cross,triangle,circle,star,1024,2,48000,-16,experiment,,0,even,Win32,35,130389,132761,116027,69397,133276,24630,50990,130390,130387,130387,133276,Wisconsin Card Sorting Test,4,58498,10,1024
